FEN,Score
4N3/2p3q1/1p1n4/1r2k3/2P4P/K2P3R/5N2/5B2 w - - 8 92,+786
8/p6p/5R2/6R1/1b3P2/1k3NKP/1r2P1PR/5B2 w - - 7 77,+1320
rnbq1b1r/1ppkpppp/p2p3n/8/8/PP4PP/R1PPPP2/1NBQKBNR b K - 2 5,-146
6n1/3p3K/8/B1k5/P7/P3PP2/2PP4/R7 w - - 3 68,+1327
4kN2/8/p6K/8/Pp2p3/7R/b2P1P2/2B5 b - - 4 90,-929
7n/3p4/3k2p1/7P/P5n1/P2KPP2/RBPP4/8 w - - 0 55,+1276
r1b3r1/1p1pkp1p/3p1b2/8/2P5/3PnP1N/P2B1PqP/R3KB1R w KQ - 2 28,-618
b7/8/8/2K3p1/8/6k1/1b5r/8 b - - 24 185,+11
3rbbk1/pB2p1p1/3pp2r/5p1Q/1p5P/n2P2P1/PPP1P2K/R1B3R1 w - - 3 41,+687
3k4/8/8/pP2B3/P7/R5P1/1K6/8 b - - 11 152,-8
rnbqkb1r/ppp2ppp/5n2/3p2N1/5p2/3P4/PPP1PPPP/RN1QKB1R w KQkq - 0 5,-726
r6b/p1p1p1rB/3pbk2/3q4/8/1PP1PNP1/n1QP2KP/RNB4R b - - 20 32,-572
5k2/p2pp3/r2p4/3P1pp1/2P1bP2/P6r/RP1P2P1/2BNKB2 b - - 2 42,-323
1rb1krn1/2pp1pp1/p3n3/1p2p3/1B5Q/1P5P/P1P1PPP1/3RKBNR w K - 8 17,+1137
6N1/8/8/6k1/2P5/4PPp1/1K3B2/1R6 w - - 3 85,+8
r3kbr1/1b4pp/pp1pB2n/2n1p3/8/P5P1/RP1PPP1P/1NB1K1R1 w - - 1 23,-283
1n6/pbp1kpp1/4rN2/1p1pP3/4B2P/P2P2P1/1PPBP2K/1RR5 b - - 0 47,-895
1k6/8/5P2/7p/5P1P/8/1p6/K1R5 w - - 0 153,+5
8/2b4K/8/6k1/7n/8/8/8 w - - 27 153,-209
2n1kR2/8/r2p4/1P1p2N1/6P1/P2K3P/2P1PP2/R4B2 b - - 10 65,-1327
8/3p1N2/2p5/1B1k3n/7P/3PPPP1/PPP5/R1B4K b - - 0 59,-1327
2r5/rNpp1pkp/p5p1/n3q2R/1P1B4/P1P3P1/3PP3/1RQ1KB2 b - - 0 41,-1033
rk6/p4p1p/b1p1R3/b7/6Pn/PPPr4/5P1P/4KB1R w - - 1 50,-479
7r/2pp1pk1/p4qp1/n7/1P6/P1P3P1/2QPPB2/1R2KB1N w - - 21 55,+1238
5k2/pR2p3/8/P4r2/2P3P1/8/1P1PP3/1NBK1BN1 w - - 3 64,+1327
4kbr1/2p1pppp/5Q2/p4q2/4n3/2p1B1P1/PP2PP1P/R3K1NR b - - 6 26,+875
8/2R5/8/3p1b2/3P4/k3P3/P5K1/8 b - - 49 129,-903
8/4K3/6k1/P7/3P3P/8/7B/8 w - - 5 194,+11
3k4/8/8/1R3K2/1P6/8/P7/8 b - - 30 143,-8
k6B/3p3p/1p5P/1P6/8/6K1/3r4/8 b - - 8 112,+1100
2k5/p1n1B3/8/4p2p/8/P2PPn1P/P1PR1PP1/3K1R2 b - - 11 62,-1232
8/7p/5k2/1p6/n1P2PPP/2P4R/1r6/5K1R b - - 1 87,-524
8/4K3/2k5/8/8/1p6/1P6/8 w - - 32 136,+1
8/8/8/6PP/3k4/PP6/1P6/4K3 w - - 7 166,+11
q2k1b2/2r1pprn/1p4p1/pbn2P2/3P4/4P3/PPPK2PP/R1BQR3 w - - 9 26,-1220
8/4b1kB/3p2P1/p7/b1P4r/1P1P1PK1/5P2/RR4N1 w - - 1 70,+1140
8/6K1/8/k7/P7/8/8/8 b - - 52 290,0
7k/1p1p3p/r5p1/5n2/2N1P3/3P4/PP1P2P1/R1B2BK1 b - - 1 39,-1131
5k1q/8/1pB5/2P3pp/3NP3/P4K2/1P4P1/2R1N3 b - - 4 81,-179
6K1/5P2/8/3B2k1/8/8/8/8 w - - 15 219,+5
r3R3/p3pp2/1p2k3/3p3P/1Pn5/2P1nP2/1R1PP1P1/QNB1KB2 w - - 1 41,+1327
1N6/5k2/8/8/4K3/1p6/1P6/3R4 w - - 13 89,+5
1k6/8/7p/3p1K2/8/r7/8/8 b - - 3 151,+1327
8/8/pN4k1/8/1pb1p2K/P3R3/3P1P2/2B5 b - - 1 82,-1022
3R4/1r5b/7k/2p4p/P2PpPP1/4K2R/1P1P3P/2BB4 b - - 24 84,-1235
4R3/2K3B1/6k1/3P1b2/p7/8/8/7N b - - 5 161,-1184
7k/8/8/p2p4/PP1K4/8/8/6n1 w - - 0 104,+853
8/5r2/1P3k2/3P4/2P4p/P3P2P/5P2/2RN1K2 b - - 0 107,-1327
8/7p/5k2/1p6/n1P2PPP/2P1R3/1r6/5K1R w - - 0 87,+882
3k4/p2p2p1/1pp1pp2/4q3/1n2PPP1/1P3Nn1/1BPPBN2/R2KR2r b - - 14 53,+783
r1bqkbnr/pp1ppp1p/3p4/6p1/3n4/5P1P/PPPPP1P1/1RBQKBNR w Kkq - 0 7,-375
8/5k1K/8/5P2/P2P3P/8/1PP5/8 b - - 1 174,-1327
2k2K2/8/8/8/8/pn6/P7/1n6 b - - 79 187,+15
2k4r/8/5P2/3P3p/1p3P1P/8/4R3/K2R4 b - - 3 136,-1320
8/5KR1/8/b6k/8/8/8/8 b - - 11 152,-5
8/pB4pn/3R3p/Pk6/8/2r1P2b/1PP1K3/R7 b - - 0 68,-633
8/p7/8/pP4k1/4K3/8/8/8 w - - 10 132,0
rnb5/2ppkp2/p3n3/Bp6/1P5R/8/P1P1PPP1/3RKBN1 b - - 4 32,-957
8/5R2/2k5/7P/1pP5/6p1/8/3K4 b - - 1 140,-1251
8/pkB5/2p3P1/8/6P1/P7/1P4n1/3R2K1 b - - 4 121,-1150
6r1/2pp1kp1/1p3b2/1p1q1p1n/2P1Pp1P/r2P4/P5P1/1NK2BRN b - - 2 43,+7
1r6/5k2/7p/1P6/2PP4/1R2P3/P4P1P/3NK3 b - - 4 96,-1320
1rbqk1r1/ppppppP1/6pB/3PP2p/8/2NB1N2/PPP3PP/R2QK2R b KQ - 2 12,-1327
6R1/7k/8/5p2/5PP1/p1p1K2B/2P1P3/b5N1 b - - 3 72,-1024
5K2/2R5/2k5/4n3/8/8/8/8 b - - 29 215,0
rnbqk2r/ppp2p2/3b1np1/3p2p1/4p3/2P5/PP1PPPPP/RNBQKBR1 w Qkq - 0 8,-725
1N4k1/8/2P5/8/7P/4K3/8/8 b - - 0 170,-7
8/8/5B2/pP6/P3k3/6P1/6R1/R1K5 w - - 35 138,+8
5K2/8/7k/3P1P2/1PP5/8/8/8 b - - 0 214,-11
r1b3r1/p1p2ppp/n1k5/1p1pP1B1/1b2n2P/3P2PN/PPP1P2K/R1Q2B1R w - - 15 24,+1038
8/7k/8/5n2/3P4/3K4/8/8 w - - 18 189,0
2q1kbr1/1ppppppp/2n5/r7/8/1P3P1P/2PPK1PR/R1BQ1BN1 w - - 2 12,+438
8/3k4/1np3b1/6P1/PPP5/8/1B1P1K1P/b7 w - - 4 84,+81
2B3k1/8/8/2pn1K2/8/P1PP2P1/1P2R3/8 b - - 26 120,-1257
r1b2b1k/pp1pp1p1/2p5/1n3p2/P2q4/2P3P1/4PP1r/1R2RK2 b - - 0 46,+1
3r4/p1p1pNbr/3pqk1p/3B4/6b1/1PP1P1P1/n1QP1K1P/RNB4R b - - 2 21,+144
4k3/4r3/4K3/8/8/8/8/8 w - - 50 168,-349
rk4r1/pp3ppN/4bn1p/8/P2b4/4P2P/1PP3K1/4RB1R b - - 0 44,+803
1n2K3/8/6N1/3k4/4p2P/8/8/8 w - - 20 167,0
8/2P2k2/8/2P5/p7/P7/3K4/8 b - - 4 193,-7
8/5KP1/k7/3P1P2/4P2R/2P5/8/b7 b - - 1 143,-1327
r4b2/1bppn3/1p4k1/p4p2/8/3PP1PP/PPP1R3/RNBK4 b - - 1 36,-266
7K/Q7/8/8/P7/6k1/8/8 w - - 23 217,+7
rnq3nr/p2pkNpp/1pp1pp2/8/4PP2/1P6/1bPPb1PP/R1B1KBNR b KQ - 4 13,+1214
6k1/3r2b1/R7/p3p3/7P/1P1P4/P3P3/5K2 w - - 0 111,+30
8/6K1/8/3Q4/8/8/2kB4/7r b - - 5 186,-872
8/8/4K2k/8/8/8/3b2n1/8 b - - 42 160,+109
7q/pp3N2/r3k3/1bp3B1/3n4/P2P1PK1/1PP3B1/1R6 b - - 2 83,+1110
rnbqkb1r/ppp2ppp/5n2/3pp3/8/2P4N/PP1PPPPP/RNBQKBR1 w Qkq - 0 4,-188
k7/8/8/1K1P4/P5P1/8/8/8 w - - 4 152,+10
2k5/p7/2p3P1/4B3/6P1/P7/1P6/3R2K1 b - - 4 124,-5
8/7K/8/P7/7k/1R6/8/8 w - - 57 237,+8
8/7k/7P/8/5PK1/3r4/8/8 w - - 11 169,-418
7K/5k1P/P7/8/8/8/8/8 b - - 0 177,-7
5R2/1k3K2/3P1P2/8/4PR2/2P5/5b2/8 b - - 14 158,-1327
8/rppq1p2/5n1N/p1k5/R7/8/1PPP1P1P/2B3KR b - - 14 47,+710
7r/5P2/1k6/8/4PbK1/2p5/2P5/8 b - - 0 135,+1061
6k1/K6p/3P3P/5bP1/2P5/P7/8/8 b - - 6 154,-1274
4k3/ppp1ppq1/6Q1/8/1n2PPPr/1P1P4/P1PN1N2/b3K3 b - - 2 42,+1234
3Q4/2np4/5pp1/5k1P/2q1n3/2P2P2/3P4/R1BK1N2 w - - 2 61,+1327
rn2qbn1/N1pppr1k/p4p1p/1p4p1/8/PNP3P1/1P1PPPRP/R1BQKB2 b Q - 3 13,-149
r2qk2r/pppn1ppp/4pn2/3p1b2/1b6/6P1/P1PPP2P/RNBQKBNR w KQkq - 1 7,-509
6R1/8/7k/1B6/8/1P6/1PP2PPP/5KR1 b - - 25 113,-4
r2qkb1r/pp3pp1/2n2n1p/2pp4/3p2bP/2P5/PP2PP2/RNBQKB1R w Qkq - 1 11,-1076
2k5/p3B3/4n3/4p2p/8/P2PPn1P/P1PR1PP1/3K1R2 w - - 12 63,+1320
3k4/p3p3/Bp2b2R/5p2/P7/2PPP1n1/1P3PP1/RNBK2N1 w - - 13 40,+1327
r1b1k1r1/pp1NBppp/2pq4/7P/5n2/1P6/P1PPPPPR/R2QKB2 b Q - 0 19,+256
1k6/4R3/8/3P4/P1P1P2p/7P/5P2/6K1 b - - 14 136,-6
8/5R2/3K4/Q7/7k/8/8/8 b - - 44 284,-3
3K4/8/8/8/5r2/p6k/8/8 b - - 47 178,+6
8/N1r1k1p1/pp1p2n1/4p1Pp/P3b2P/5rP1/1P1PK3/R1B1n3 w - - 9 55,-1185
8/8/5B2/p1P5/4p3/P4P2/RPK3k1/3N4 b - - 13 70,-1327
8/8/8/8/1p6/1P2k3/8/5K2 w - - 52 229,-1066
7K/1R6/5k2/P7/8/8/8/8 b - - 50 233,-8
1r5r/1ppb1qp1/pk2p3/8/1P3P2/P5KP/N1P1P1PR/4RB2 w - - 9 54,-870
2bqk1r1/1ppppN1p/5rp1/p1bnn3/6P1/N3PQ2/PPPP1PBP/1RB1K2R b K - 0 21,+920
6k1/8/8/8/8/2P4K/8/5R2 w - - 79 332,+6
3k4/8/8/8/2K5/8/R7/8 w - - 35 274,+8
1B6/1P1k4/1P6/4K3/5P1P/7P/4P3/8 w - - 15 166,+5
7K/8/3k4/7P/P7/8/8/8 w - - 10 174,+1313
8/4K1Q1/7R/8/4k3/8/8/8 w - - 75 300,+3
8/p7/K7/5k2/8/PPP5/2R3b1/2B4B b - - 29 137,-1234
5N2/3p1p2/7k/3r4/3b4/2P2n1P/5P2/1K6 w - - 1 87,-1003
4R3/n7/5k1p/8/1p1p2P1/1P1P4/1P6/2B2N1K b - - 3 72,-1095
4kr2/4rp1p/3pbb2/2R5/3P3K/5P1P/5P2/6NR w - - 7 57,-1010
2r1q1nk/N1ppprb1/p1n2p2/1p4pp/2P5/P5P1/1P1PPPRP/R1BQKBN1 w Q - 0 18,+723
7q/5p2/8/4k3/8/3rPK2/PPPb1P1P/R6R b - - 3 75,+893
2kN2r1/6R1/5P2/3P3p/1p3P1P/8/8/K2R4 b - - 6 134,-15
8/6r1/8/5k2/R7/p7/8/3K4 w - - 28 128,0
5k2/8/8/5K2/5P2/3R3P/2P5/8 b - - 11 161,-6
2K5/8/4r3/1p3k2/2p5/8/8/8 b - - 35 188,+6
7N/4p2p/3nk3/p1q5/6P1/2pKP1R1/PP1B1P1P/R7 b - - 12 56,+3
5k2/2Kb4/6p1/6Pp/7P/8/8/B7 b - - 8 139,0
8/8/3k4/8/5pK1/5P2/5P2/8 w - - 10 129,+1327
8/1k6/4K2P/8/P7/8/8/8 b - - 1 234,-9
rn4q1/pppk1ppp/5n2/3p4/N7/b5Pb/PPPBPP1P/R3KB1R b KQ - 1 11,+866
3k3K/R7/8/8/2P5/4PP2/8/8 b - - 62 259,-7
8/3p4/3P4/3K3N/3n4/8/8/2B1k3 b - - 84 159,-196
8/5k2/8/8/1K6/1R6/8/8 b - - 20 266,-16
7K/5k2/8/8/3R4/8/7R/8 b - - 39 252,-4
4Q3/7K/1k6/8/1p4n1/8/8/8 b - - 10 127,+1205
6k1/2pp4/1pn5/p4p2/P1N5/3PP1rP/1PP3R1/R3K1B1 w - - 6 61,+1262
7R/P7/6k1/8/P5r1/2P5/3PP3/5K1N b - - 3 118,-1253
1r6/R7/8/3P1Pp1/4P1k1/P1P1B3/1P4PP/7K w - - 6 129,+8
5k2/3r3B/8/1p2P3/pP1P2P1/8/P1PP4/2K3R1 w - - 1 71,+1320
8/8/8/4R3/2Pk4/8/7K/8 b - - 6 175,-1
8/3k4/8/R6P/1pP3p1/8/8/3K4 b - - 4 135,-1294
7k/8/K2P4/8/8/8/6B1/8 b - - 11 186,-9
2b1k3/6K1/p7/8/3Pp3/8/1B2N3/6R1 w - - 23 120,+1227
8/k7/6K1/8/8/8/1p6/8 w - - 0 142,-10
8/5p2/p3k3/8/3Pp2K/7N/b7/B3R3 b - - 7 90,-916
8/5R2/6K1/8/8/2P4k/8/8 w - - 15 300,+7
6k1/8/4p3/p2p3R/P7/2K1n3/1PP3p1/8 w - - 0 88,+369
8/8/5P2/P1K5/7k/8/3PR2P/8 w - - 18 159,+5
8/2Rk4/1P6/8/PB4P1/1K6/8/8 b - - 8 186,-6
1k1K4/8/2r5/8/8/8/8/8 b - - 25 233,+7
4k3/8/p7/P6K/2n5/4p3/8/8 b - - 41 144,+8
6r1/4pN1n/pp6/n1pr3k/4P3/7P/PPPPKPP1/R1B3R1 b - - 5 34,-848
rnbq1b2/pppppkr1/6pn/5p1p/5PP1/4P2N/PPPPK2P/RNBQ1B1R b - - 6 9,+194
rnb1kbr1/p1qppppp/1p6/2p4n/P7/2P4P/1PQPPPPR/RNB1KBN1 w Qq - 3 7,-44
8/5k2/2P5/4K3/8/8/8/8 w - - 1 233,+6
5k2/1P6/4K3/2R5/P5P1/8/3B4/8 w - - 79 234,+2
4R3/3p4/7N/3P4/8/1P2P2k/P3K3/5n2 w - - 1 86,+6
1q2N1k1/8/1pB5/2P3pp/3pP3/P4K2/1P4P1/1R2N3 w - - 6 76,+677
2k5/3pp3/8/P3r3/3B3K/8/1PPb1PPP/4R3 w - - 5 66,+1259
7k/3p1p2/p1pP4/1p6/8/4q3/8/1K6 w - - 5 138,-5
2q5/p1kp2p1/1pp1ppNr/1b6/1n2PPP1/BP4n1/2PPB3/2RKR2N w - - 3 44,0
8/2ppk3/8/N3nqr1/3P4/1P2P1P1/P1P2P1P/2KR3R b - - 0 37,+148
5R1k/4p2N/2p5/2b5/8/1q2P1r1/3PB2P/7K b - - 1 101,+1055
8/1q1k2N1/1rp3p1/3p4/8/2P2PP1/PP2PKRP/2BR1B2 w - - 11 53,+1111
3k4/8/5pP1/1Np5/pn3P2/BPP2n2/4K3/3N4 b - - 4 108,-1025
1n3NRq/2p1pp2/rp1pkn2/7p/5b1P/1PN5/P1PPPP1P/R2QKB2 b Q - 10 18,-6
8/3K4/2BP1k2/8/8/8/8/8 w - - 50 206,+9
r1b1kbn1/ppq2ppr/n2p3p/2p3P1/7B/N2P4/PPP1PP1P/R2QKBNR w KQq - 1 10,+146
3K4/8/p2B2k1/8/1P6/P7/8/7b b - - 19 207,0
rnbqkb2/pppppp1p/6rn/6p1/8/5PPP/PPPPP3/RNBQKBNR b Qq - 3 5,+164
6N1/8/2k5/8/K7/1P6/8/8 w - - 73 242,+1092
8/3p1p1k/p1pP4/1p6/8/3q4/K7/8 w - - 1 136,-5
8/4k3/1K6/p7/P7/8/8/8 b - - 7 263,-1
8/8/P6K/3k4/7P/1P6/8/8 b - - 5 199,-1328
8/3K1P2/8/1k5P/8/8/8/8 w - - 13 149,+7
r1bqkb1r/pppppppp/2n4n/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 3,+234
8/5Q1K/2k5/8/1p4n1/8/8/8 w - - 15 130,+33
2R5/3R4/8/k7/8/2P1PPPP/PPKB4/1B6 w - - 61 126,+3
6r1/pp2ppkp/8/8/6PP/2R4N/1nPPP3/qN1QK3 b - - 3 54,+1077
3k4/4n3/p2Kp1p1/5bPp/7P/P7/8/8 w - - 11 86,-1314
8/3R4/P5k1/6P1/P2r4/2P5/3PP3/6KN b - - 0 107,-359
5r2/6b1/3k3p/1q3p2/1n3Nn1/3P4/P1P1PPPP/R2QKB1R b KQ - 6 33,+4
8/8/1B6/2P5/pK6/P4P1k/RP1N4/8 w - - 55 106,+8
8/B6r/7p/7k/1P6/4P3/P1PP1P1P/R2NKR2 w - - 0 77,+1327
8/2k2K2/1p6/1P6/8/8/8/8 b - - 66 213,+1027
k7/3R4/5K2/4p3/8/7P/4P3/1n1N2B1 b - - 9 131,-1327
3q1b1k/rbpppr2/p1n3pn/4Np2/B4Pp1/4P3/PPPP1K1P/RNBQ3R b - - 2 18,+800
8/k1p5/1p1pppn1/7p/P1P1NK1P/P3P3/4PP1P/1R6 w - - 5 58,+1054
4R3/5p2/p1K2p2/1P2P1k1/q7/8/PP1P3P/R1B5 b - - 4 85,+124
8/6k1/6P1/1PP5/3K3P/8/8/8 b - - 4 154,-9
5K2/7r/8/8/8/1k6/8/8 b - - 21 250,+8
5k2/8/2P5/4PP2/7p/5K1P/8/8 w - - 7 190,+6
r4bb1/p1p1p2k/1p1q1p2/5n2/1PPP2rP/3K1nP1/P1Q1PR2/1RBN1B2 w - - 22 33,-344
6k1/K7/p6n/3P3P/8/8/bB5n/r7 w - - 29 138,-324
4k1K1/6P1/8/p7/P2P4/8/5R2/8 w - - 0 141,+3
2b4r/pp1pk1pp/N6n/8/8/3PP3/PP1P1KP1/R1B2B2 b - - 2 27,-250
5R2/6k1/8/4n2P/K7/8/8/8 b - - 8 144,0
N4r2/p3k1pp/1p1ppb2/4P1n1/3K4/1Rr2PP1/P1bP3P/2B4R b - - 0 47,+1
8/3N3k/4PK2/p5P1/P7/4P3/8/3n4 b - - 0 150,-14
8/1K6/P7/8/8/8/5k2/8 b - - 80 282,-13
3B2K1/8/8/1kP5/p7/P7/2P5/8 w - - 3 170,+27
4k3/8/8/P4P1P/2PPK3/1P6/8/8 w - - 5 189,+7
8/5R2/8/8/1p6/3P4/3k4/K6B w - - 2 142,+1175
8/p1nkp3/1Npr4/2P3P1/3b4/8/PP4P1/R1B1K2R b - - 12 78,-1094
4K3/8/8/P3P1k1/P7/8/8/8 b - - 4 178,-11
5K2/8/8/5k2/2P5/8/8/8 b - - 2 221,0
3r2r1/pp3ppp/2qb2k1/3P4/2n1K2P/5PP1/PPP1P1bR/7R b - - 1 44,+3
4k3/8/8/5K2/1R6/8/8/8 b - - 8 291,-11
4B2R/7K/8/2k5/8/8/8/8 b - - 41 226,-581
r1bqk1r1/ppp1ppP1/3pP1pB/3P3p/8/2NB1N2/PPP1Q1PP/R3K2R b KQ - 0 14,-1327
8/R3K3/8/3P4/4P3/8/8/6k1 b - - 18 188,-8
r1b1kr2/pp1p1pbp/2np4/q5p1/QpP2N2/B2Pn3/P3PPPP/R3KB1R b KQq - 1 13,+1
5k2/5pnp/8/1pnB4/4b3/2P3P1/PP1RPP1P/1N2K2R b K - 0 53,-1257
8/2k5/8/4R3/1p4P1/1P1P4/1P6/7K w - - 14 143,+8
r7/ppp5/3B1p1r/3k2n1/2N4P/4P1Pb/PPP2P1N/1R2KR2 w - - 11 51,+861
5b2/2k1p3/3PPr2/pp4R1/6PP/1P4r1/K7/8 b - - 0 131,+1105
8/8/8/5k2/2P5/8/7K/8 w - - 10 181,0
2r5/2pn1k2/6B1/8/1P2pbP1/P6P/1RPPN3/3R3K b - - 0 78,-1088
rnq1kb1r/1pp1pppp/3p4/p7/6P1/2N1n1N1/bPPP1PBP/R1B1KQ1R w q - 2 15,+335
2N5/6k1/2K1n3/2P5/3P4/8/8/4q3 w - - 34 158,-855
8/Q7/3K4/8/2k5/8/8/8 w - - 21 238,+5
r2qkbr1/ppp1pppp/2n5/3p1b2/5Nn1/1P1P4/P1PQPPPP/RNB1KBR1 w Qq - 5 9,-79
8/2K5/8/8/1k6/8/4r3/8 w - - 54 267,-9
8/2kpr1pp/p1r1n2n/3bppP1/1b2P3/P2P2RP/1PP2P2/1R1KB3 w - - 3 54,-287
r6r/1ppn1kpp/p7/8/1b4b1/1qPP2PP/PPQ1PP2/R1B2R1K w - - 3 43,+957
rn1qkb1r/ppp2pp1/5n1p/3pp3/6b1/8/PPPPPP1P/RNBQKB1R w Qkq - 0 8,-957
3kQq2/1p3pp1/1b5p/3p4/5p1P/1PK5/R1PP2PR/2B2B2 b - - 2 46,-1033
3q4/6k1/8/7P/1pP3K1/8/8/8 w - - 12 163,-8
6R1/K5k1/P7/8/2P2NP1/3PP3/7P/8 b - - 56 162,-7
3K4/8/1P3k2/p7/8/P6b/7B/8 b - - 7 217,-876
rnbqkbnr/1pppp3/p4p1p/6p1/8/1N4P1/PPPPPP1P/RNBQKBR1 b Qkq - 1 5,-68
r1bqkbnr/ppp2ppp/2n5/3pp3/8/4N3/PPPPPPPP/R1BQKBNR w KQkq - 0 4,-109
r4N2/p1k2pp1/B2b3p/7n/P7/4PK1b/1PP5/R1R5 w - - 1 55,+314
8/3K4/8/8/8/p4k2/2r5/8 w - - 86 198,-6
8/8/6R1/4k3/8/p7/5K2/7r b - - 5 116,+1241
2QK2k1/8/8/8/2P1P3/3P3P/8/8 w - - 15 196,+4
3R4/5K2/8/8/7k/2P5/8/8 b - - 0 292,-12
1r6/3pppkr/7b/7p/1n4n1/pRKP1P1R/2PB1P1P/1N1Q4 b - - 14 31,-326
1qb2k2/rp3p1p/2p1r1R1/p6P/1P2Q3/3P4/P1PP1PP1/2KR1B2 w - - 18 40,+392
5r1k/p2p3r/1p4pp/5Pn1/4P1Pq/3KR2P/PPPP4/R1B5 b - - 14 44,+901
4R3/6k1/1p1P4/8/1Pb5/2pP1P2/4B2P/2K3N1 w - - 3 81,+6
rnbqkbnr/p1pppppp/1p6/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2,+20
8/2k5/4R3/8/5p1p/3p1P2/5PK1/8 w - - 0 94,+1262
1B1k4/1P6/1P6/8/4KP1P/7P/4P3/8 b - - 12 164,-6
8/R1p1p1k1/8/p2b1pp1/5P1P/P1PP1N1K/q1P5/RNB5 w - - 1 49,+1127
8/3R4/8/7k/8/2K5/8/8 b - - 72 292,-13
rn6/1bppkp2/p3n2B/1p6/1P6/7r/P1P1PPP1/3RKBNR w K - 4 26,+934
1B5k/8/P7/8/6K1/2p5/2P5/8 b - - 0 196,-6
8/8/4q1k1/8/8/1B6/7K/8 b - - 44 184,+6
8/6k1/1N6/8/R5K1/1p6/1P6/8 b - - 42 103,-6
rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,+39
8/p5p1/2Bk1n1p/P1r5/8/4P3/1PP1K3/R7 w - - 6 79,0
1B1k1K2/8/4P3/3P4/8/7P/8/8 b - - 0 172,-9
rn1qk2r/ppp3pp/4pn2/3p4/1b1Pb3/6P1/P1P1PP1P/RN1QK1N1 w Qkq - 0 10,-1327
7q/8/1p6/1R5N/8/3PN3/8/K1k4B w - - 15 136,+201
b2n4/p2k1p2/3p4/1p4P1/3PP3/3R1P2/8/B3K2N b - - 10 69,-692
r3q2r/pppkppbp/n2p2pn/3b4/4P1PR/1P1P1P2/P1P5/RN1QKBN1 b - - 8 14,+831
3K4/B7/8/k3N3/8/8/8/8 b - - 24 196,-144
8/4p3/8/p1P5/5p2/P1K2Pk1/RP6/2BN4 b - - 2 60,-1327
2k3K1/8/8/p7/8/5n2/8/8 w - - 10 170,-17
8/3p2q1/3N4/3P3k/2P4P/1P2P3/P6n/3KR3 w - - 10 76,-477
8/3r4/6k1/5pP1/5P2/7P/3K4/8 w - - 0 142,-1314
8/8/R6P/8/3P4/P5P1/4k3/6K1 b - - 26 174,-1327
1k2B3/8/8/8/4KP2/b1p3p1/p1P1P3/8 b - - 5 101,+1327
4K3/7k/3P4/8/B7/8/8/8 b - - 37 199,-10
1k6/8/6P1/6P1/1p5K/PP6/8/8 w - - 2 147,+10
1rbq1bnr/pppkpppp/2np4/1N6/8/2P3P1/PP1PPP1P/R1BQ1KNR b - - 2 7,+707
